# ----------------------------------------,,,,,,,,,,,,,,,,,,,,,
# All Web Site Data,,,,,,,,,,,,,,,,,,,,,
# Flat File Report,,,,,,,,,,,,,,,,,,,,,
# 20201001-20210320,,,,,,,,,,,,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Date,Hour,Avg. Session Duration,Avg. Time on Page,Avg. Time on Screen,Bounce Rate,Bounces,Exits,Hits,New Users,Number of Sessions per User,Pages / Session,Pageviews,Results Pageviews / Search,Screen Views,Screens / Session,Session Duration,Sessions,Total Unique Searches,Unique Pageviews,Unique Screen Views,Users
20210224,11,00:11:07,00:00:52,00:00:00,0.00%,0,3,24,3,0.75,6.67,20,0,0,0,00:33:22,3,0,17,0,4
20210227,23,00:11:04,00:01:35,00:00:00,0.00%,0,1,8,1,1,8,8,0,0,0,00:11:04,1,0,2,0,1
20210309,13,00:10:38,00:02:40,00:00:00,28.57%,2,6,44,4,1,4.71,33,0,0,0,01:14:27,7,0,24,0,7
20210320,5,00:10:37,00:01:04,00:00:00,0.00%,0,1,15,1,1,11,11,0,0,0,00:10:37,1,0,8,0,1
20210315,10,00:10:31,00:02:38,00:00:00,0.00%,0,2,10,0,2,5,10,0,0,0,00:21:02,2,0,9,0,1
20210308,16,00:10:27,00:01:58,00:00:00,16.67%,1,6,71,4,0.86,8.83,53,0,0,0,01:02:40,6,0,32,0,7
20210207,13,00:10:17,00:02:29,00:00:00,55.56%,5,8,42,6,1,3.89,35,0,0,0,01:32:30,9,0,30,0,9
20210305,16,00:10:15,00:02:03,00:00:00,0.00%,0,5,36,2,1,6,30,0,0,0,00:51:17,5,0,20,0,5
20210207,22,00:10:13,00:10:13,00:00:00,0.00%,0,1,2,0,1,2,2,0,0,0,00:10:13,1,0,1,0,1
20210317,8,00:10:01,00:03:20,00:00:00,40.00%,2,5,23,3,1,4,20,0,0,0,00:50:06,5,0,13,0,5
20210114,8,00:09:58,00:02:06,00:00:00,42.86%,3,6,29,5,1,3.86,27,0,0,0,01:09:49,7,0,19,0,7
20210211,21,00:09:53,00:01:44,00:00:00,0.00%,0,3,30,3,1,6,24,0,0,0,00:39:30,4,0,22,0,4
20210311,8,00:09:50,00:29:30,00:00:00,66.67%,2,2,3,3,1,1,3,0,0,0,00:29:30,3,0,3,0,3
20210112,14,00:09:49,00:01:58,00:00:00,25.00%,1,4,27,3,1,6,24,0,0,0,00:39:16,4,0,18,0,4
20210203,19,00:09:46,00:01:59,00:00:00,25.00%,1,1,19,4,1,4.5,18,0,0,0,00:39:04,4,0,18,0,4
20210314,15,00:09:38,00:01:48,00:00:00,16.67%,1,5,43,4,1.2,6.17,37,0,0,0,00:57:50,6,0,33,0,5
20201221,11,00:09:34,00:01:43,00:00:00,20.00%,1,5,33,0,1.25,6.6,33,0,0,0,00:47:51,5,0,22,0,4
20210309,10,00:09:31,00:01:58,00:00:00,36.36%,4,10,60,10,1,4.73,52,0,0,0,01:44:43,11,0,46,0,11
20201215,16,00:09:30,00:01:49,00:00:00,50.00%,1,3,30,1,0.67,13.5,27,0,0,0,00:18:59,2,0,15,0,3
20210107,15,00:09:28,00:03:33,00:00:00,60.00%,3,4,18,3,1,2.8,14,0,0,0,00:47:21,5,0,14,0,5
20210210,21,00:09:26,00:01:08,00:00:00,66.67%,2,3,36,1,1.5,9.33,28,0,0,0,00:28:18,3,0,22,0,2
20210317,13,00:09:15,00:05:33,00:00:00,66.67%,2,3,10,3,1,2.67,8,0,0,0,00:27:44,3,0,8,0,3
20210209,13,00:09:14,00:03:41,00:00:00,50.00%,1,2,8,1,1,3.5,7,0,0,0,00:18:27,2,0,6,0,2
20201218,23,00:09:11,00:02:07,00:00:00,33.33%,1,3,18,0,1,5.33,16,0,0,0,00:27:32,3,0,7,0,3
20210125,22,00:09:09,00:03:20,00:00:00,50.00%,1,1,3,0,1,1.5,3,0,0,0,00:18:17,2,0,3,0,2
20210216,19,00:09:08,00:01:14,00:00:00,20.00%,1,5,55,3,1,8.8,44,0,0,0,00:45:42,5,0,30,0,5
20210209,14,00:09:08,00:02:21,00:00:00,25.00%,2,6,23,5,1,2.5,20,0,0,0,01:13:01,8,0,18,0,8
