# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Client_Info,,,,,,,,,,
# 20201001-20210320,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Date,Metro,Region,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions
Turner,20210101,Portland-Auburn ME,Maine,33,33,33,0.00%,2.94,00:00:08,0
Turner,20201231,Portland-Auburn ME,Maine,31,31,31,0.00%,3,00:00:08,0
Rochester,20201231,Rochester NY,New York,19,19,19,5.26%,2.84,00:00:08,0
Turner,20210102,Portland-Auburn ME,Maine,15,15,15,0.00%,2.93,00:00:08,0
Clermont,20210101,Orlando-Daytona Beach-Melbourne FL,Florida,14,14,14,0.00%,3,00:00:09,0
Turner,20210118,Portland-Auburn ME,Maine,14,14,14,0.00%,2.93,00:00:08,0
Rochester,20210125,Rochester NY,New York,14,14,14,0.00%,3,00:00:09,0
Clermont,20201231,Orlando-Daytona Beach-Melbourne FL,Florida,13,13,13,0.00%,3,00:00:08,0
Turner,20210109,Portland-Auburn ME,Maine,13,13,13,0.00%,3,00:00:09,0
(not set),20210226,(not set),Florida,12,12,12,0.00%,3,00:00:10,0
Dublin,20210210,(not set),County Dublin,12,12,12,100.00%,1,00:00:00,0
Turner,20210125,Portland-Auburn ME,Maine,12,12,12,0.00%,3,00:00:09,0
Rochester,20210101,Rochester NY,New York,12,12,12,0.00%,2.92,00:00:08,0
Heber City,20201228,Salt Lake City UT,Utah,12,9,17,47.06%,3.24,00:02:47,0
Walla Walla,20210226,Yakima-Pasco-Richland-Kennewick WA,Washington,12,12,12,0.00%,3,00:00:09,0
(not set),20210203,(not set),Florida,11,10,12,16.67%,3,00:00:46,1
Turner,20210117,Portland-Auburn ME,Maine,11,11,11,0.00%,2.91,00:00:08,0
Turner,20210126,Portland-Auburn ME,Maine,11,11,11,0.00%,3,00:00:09,0
Rochester,20210226,Rochester NY,New York,11,11,11,0.00%,3,00:00:09,0
Heber City,20201229,Salt Lake City UT,Utah,11,8,17,58.82%,3.41,00:05:35,0
Walla Walla,20210219,Yakima-Pasco-Richland-Kennewick WA,Washington,11,11,11,0.00%,3,00:00:09,0
Clermont,20210102,Orlando-Daytona Beach-Melbourne FL,Florida,10,10,10,0.00%,2.9,00:00:08,0
Turner,20201230,Portland-Auburn ME,Maine,10,10,10,10.00%,2.8,00:00:07,0
Turner,20210120,Portland-Auburn ME,Maine,10,10,10,0.00%,3,00:00:08,0
Walla Walla,20210211,Yakima-Pasco-Richland-Kennewick WA,Washington,10,10,10,0.00%,3,00:00:10,0
(not set),20210111,(not set),(not set),9,8,9,66.67%,1.44,00:00:29,0
Los Angeles,20210125,Los Angeles CA,California,9,8,12,83.33%,1.25,00:00:22,0
Los Angeles,20210126,Los Angeles CA,California,9,6,12,75.00%,1.92,00:00:17,0
Los Angeles,20210301,Los Angeles CA,California,9,6,12,41.67%,3.08,00:02:49,0
Clermont,20210109,Orlando-Daytona Beach-Melbourne FL,Florida,9,9,9,0.00%,3,00:00:09,0
Turner,20210112,Portland-Auburn ME,Maine,9,9,9,0.00%,2.78,00:00:08,0
Turner,20210114,Portland-Auburn ME,Maine,9,9,9,0.00%,3,00:00:09,0
Rochester,20210102,Rochester NY,New York,9,9,9,0.00%,3,00:00:08,0
Heber City,20210108,Salt Lake City UT,Utah,9,7,12,33.33%,4.67,00:04:07,0
Heber City,20210126,Salt Lake City UT,Utah,9,5,13,53.85%,1.77,00:00:17,0
Walla Walla,20210202,Yakima-Pasco-Richland-Kennewick WA,Washington,9,9,9,0.00%,3,00:00:09,0
Walla Walla,20210301,Yakima-Pasco-Richland-Kennewick WA,Washington,9,9,9,11.11%,2.78,00:00:08,0
(not set),20210105,(not set),(not set),8,7,10,80.00%,1.4,00:03:56,0
Los Angeles,20210203,Los Angeles CA,California,8,7,11,18.18%,3.91,00:02:01,1
Los Angeles,20210218,Los Angeles CA,California,8,8,8,37.50%,7.38,00:03:13,0
Los Angeles,20210317,Los Angeles CA,California,8,7,8,62.50%,1.38,00:00:11,0
Clermont,20210125,Orlando-Daytona Beach-Melbourne FL,Florida,8,8,8,0.00%,3,00:00:10,0
Turner,20210127,Portland-Auburn ME,Maine,8,8,8,0.00%,3,00:00:09,0
Turner,20210128,Portland-Auburn ME,Maine,8,8,8,0.00%,3,00:00:10,0
Houston,20210310,Houston TX,Texas,8,8,12,33.33%,4.92,00:03:22,1
San Antonio,20210205,San Antonio TX,Texas,8,8,9,100.00%,1,00:00:00,0
Heber City,20201218,Salt Lake City UT,Utah,8,3,25,36.00%,5.56,00:09:45,0
Salt Lake City,20201227,Salt Lake City UT,Utah,8,7,8,75.00%,2,00:00:20,0
Walla Walla,20210203,Yakima-Pasco-Richland-Kennewick WA,Washington,8,8,8,0.00%,3,00:00:09,0
Walla Walla,20210216,Yakima-Pasco-Richland-Kennewick WA,Washington,8,8,8,0.00%,2.88,00:00:08,0
(not set),20210107,(not set),(not set),7,6,7,57.14%,2.57,00:00:36,0
Los Angeles,20210204,Los Angeles CA,California,7,4,7,42.86%,2.43,00:03:09,0
Los Angeles,20210207,Los Angeles CA,California,7,4,12,33.33%,3.5,00:03:45,0
Clermont,20201230,Orlando-Daytona Beach-Melbourne FL,Florida,7,7,7,0.00%,3,00:00:08,0
Turner,20210103,Portland-Auburn ME,Maine,7,7,7,0.00%,3,00:00:09,0
New York,20210216,"New York, NY",New York,7,7,8,12.50%,4.25,00:02:32,0
New York,20210228,"New York, NY",New York,7,6,8,25.00%,3.12,00:04:08,0
Rochester,20210103,Rochester NY,New York,7,7,7,0.00%,2.86,00:00:08,0
Rochester,20210130,Rochester NY,New York,7,7,7,0.00%,3,00:00:10,0
Dallas,20210311,Dallas-Ft. Worth TX,Texas,7,6,8,62.50%,2.38,00:02:15,0
Houston,20201224,Houston TX,Texas,7,7,7,85.71%,1.86,00:00:14,0
Heber City,20210203,Salt Lake City UT,Utah,7,5,13,69.23%,1.77,00:00:21,0
Park City,20201229,Salt Lake City UT,Utah,7,7,9,88.89%,1.67,00:03:09,0
Walla Walla,20210210,Yakima-Pasco-Richland-Kennewick WA,Washington,7,7,7,0.00%,3,00:00:09,0
Walla Walla,20210212,Yakima-Pasco-Richland-Kennewick WA,Washington,7,7,7,0.00%,3,00:00:09,0
