# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Client_Info,,,,,,,,,,
# 20201001-20210320,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Date,Metro,Region,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions
Los Angeles,20210205,Los Angeles CA,California,6,2,12,41.67%,2.5,00:01:06,0
Los Angeles,20210212,Los Angeles CA,California,6,4,6,50.00%,2.5,00:01:07,0
Los Angeles,20210226,Los Angeles CA,California,6,5,6,83.33%,1.83,00:00:11,0
Los Angeles,20210307,Los Angeles CA,California,6,6,7,42.86%,3.29,00:01:57,1
Los Angeles,20210309,Los Angeles CA,California,6,4,7,57.14%,2.71,00:00:40,0
Clermont,20210114,Orlando-Daytona Beach-Melbourne FL,Florida,6,6,6,0.00%,3,00:00:09,0
Turner,20210123,Portland-Auburn ME,Maine,6,6,6,0.00%,2.83,00:00:08,0
Turner,20210201,Portland-Auburn ME,Maine,6,6,6,0.00%,2.67,00:00:08,0
New York,20210125,"New York, NY",New York,6,6,6,50.00%,3,00:01:12,0
New York,20210210,"New York, NY",New York,6,6,6,16.67%,3.67,00:01:48,1
New York,20210227,"New York, NY",New York,6,4,10,50.00%,2.4,00:00:58,1
Rochester,20210117,Rochester NY,New York,6,6,6,0.00%,2.67,00:00:07,0
Boardman,20210226,Portland OR,Oregon,6,6,6,100.00%,1,00:00:00,0
Dallas,20210130,Dallas-Ft. Worth TX,Texas,6,6,9,44.44%,3.89,00:03:44,1
Dallas,20210205,Dallas-Ft. Worth TX,Texas,6,5,7,71.43%,3,00:02:11,0
Heber City,20210107,Salt Lake City UT,Utah,6,4,8,62.50%,2.12,00:05:43,0
Heber City,20210121,Salt Lake City UT,Utah,6,4,6,83.33%,1.5,00:01:32,0
Park City,20210102,Salt Lake City UT,Utah,6,5,6,83.33%,1.33,00:00:11,0
Salt Lake City,20201223,Salt Lake City UT,Utah,6,6,6,83.33%,1.17,00:00:05,0
Virginia Beach,20210207,Norfolk-Portsmouth-Newport News VA,Virginia,6,6,15,33.33%,3.93,00:02:48,0
Quincy,20210205,Spokane WA,Washington,6,6,6,100.00%,1,00:00:00,0
Walla Walla,20210215,Yakima-Pasco-Richland-Kennewick WA,Washington,6,6,6,0.00%,3,00:00:09,0
Walla Walla,20210222,Yakima-Pasco-Richland-Kennewick WA,Washington,6,6,6,0.00%,2.83,00:00:08,0
Walla Walla,20210223,Yakima-Pasco-Richland-Kennewick WA,Washington,6,6,6,0.00%,2.83,00:00:09,0
Walla Walla,20210224,Yakima-Pasco-Richland-Kennewick WA,Washington,6,6,6,0.00%,3,00:00:09,0
Walla Walla,20210304,Yakima-Pasco-Richland-Kennewick WA,Washington,6,6,6,0.00%,3,00:00:09,0
(not set),20201218,(not set),(not set),5,5,5,100.00%,1,00:00:00,0
(not set),20210101,(not set),(not set),5,5,5,100.00%,1,00:00:00,0
(not set),20210128,(not set),(not set),5,4,5,100.00%,1,00:00:00,0
(not set),20210205,(not set),Florida,5,5,5,20.00%,2.6,00:00:07,0
(not set),20210211,(not set),Florida,5,4,8,37.50%,2.12,00:00:21,0
Los Angeles,20201223,Los Angeles CA,California,5,2,7,71.43%,1.43,00:04:40,0
Los Angeles,20201230,Los Angeles CA,California,5,3,7,14.29%,4.29,00:04:46,2
Los Angeles,20210104,Los Angeles CA,California,5,5,5,60.00%,2.8,00:01:22,0
Los Angeles,20210107,Los Angeles CA,California,5,4,5,60.00%,1.6,00:00:21,0
Los Angeles,20210130,Los Angeles CA,California,5,4,5,60.00%,1.6,00:00:15,0
Los Angeles,20210202,Los Angeles CA,California,5,3,8,62.50%,2.5,00:02:03,1
Los Angeles,20210209,Los Angeles CA,California,5,2,8,50.00%,4.62,00:02:38,0
Los Angeles,20210222,Los Angeles CA,California,5,4,5,80.00%,1.4,00:00:16,0
Los Angeles,20210224,Los Angeles CA,California,5,3,5,20.00%,3.4,00:07:39,0
Los Angeles,20210225,Los Angeles CA,California,5,3,5,60.00%,4,00:05:54,1
Los Angeles,20210228,Los Angeles CA,California,5,3,5,60.00%,1,00:00:22,0
Los Angeles,20210302,Los Angeles CA,California,5,3,5,60.00%,2,00:01:25,0
Los Angeles,20210304,Los Angeles CA,California,5,3,8,50.00%,2.75,00:00:42,0
Los Angeles,20210305,Los Angeles CA,California,5,3,7,71.43%,1.29,00:00:07,0
Los Angeles,20210310,Los Angeles CA,California,5,4,5,20.00%,2.8,00:02:52,0
Los Angeles,20210315,Los Angeles CA,California,5,2,6,33.33%,4.33,00:16:47,0
Los Angeles,20210320,Los Angeles CA,California,5,3,6,66.67%,2.17,00:00:16,0
San Jose,20201224,San Francisco-Oakland-San Jose CA,California,5,5,5,100.00%,1,00:00:00,0
Denver,20201221,Denver CO,Colorado,5,5,6,16.67%,2,00:00:03,0
Denver,20210114,Denver CO,Colorado,5,4,5,60.00%,2.6,00:01:00,0
Clermont,20210112,Orlando-Daytona Beach-Melbourne FL,Florida,5,5,5,0.00%,3,00:00:09,0
Clermont,20210117,Orlando-Daytona Beach-Melbourne FL,Florida,5,5,5,0.00%,3,00:00:08,0
Des Moines,20210205,Des Moines-Ames IA,Iowa,5,5,5,80.00%,1.2,00:00:00,0
Turner,20210110,Portland-Auburn ME,Maine,5,5,5,0.00%,3,00:00:08,0
Turner,20210124,Portland-Auburn ME,Maine,5,5,5,0.00%,3,00:00:08,0
Turner,20210129,Portland-Auburn ME,Maine,5,5,5,0.00%,3,00:00:09,0
Dobbs Ferry,20210120,"New York, NY",New York,5,5,5,40.00%,4.6,00:02:34,1
New York,20210129,"New York, NY",New York,5,5,5,80.00%,2,00:01:01,0
New York,20210203,"New York, NY",New York,5,4,8,37.50%,3.25,00:04:18,0
New York,20210204,"New York, NY",New York,5,5,5,40.00%,5,00:05:10,1
New York,20210218,"New York, NY",New York,5,5,5,0.00%,4.6,00:05:06,1
New York,20210302,"New York, NY",New York,5,4,6,50.00%,1.83,00:01:13,0
Rochester,20210105,Rochester NY,New York,5,5,5,0.00%,3,00:00:08,0
Rochester,20210106,Rochester NY,New York,5,5,5,0.00%,3,00:00:08,0
Rochester,20210109,Rochester NY,New York,5,5,5,0.00%,3,00:00:08,0
Rochester,20210119,Rochester NY,New York,5,5,5,0.00%,3.2,00:00:09,0
Rochester,20210201,Rochester NY,New York,5,5,5,0.00%,3,00:00:10,0
Rochester,20210202,Rochester NY,New York,5,5,5,0.00%,3,00:00:09,0
Rochester,20210217,Rochester NY,New York,5,5,5,0.00%,3.4,00:00:21,0
Tulsa,20210103,Tulsa OK,Oklahoma,5,5,5,100.00%,1,00:00:00,0
Dallas,20210305,Dallas-Ft. Worth TX,Texas,5,4,6,33.33%,5.5,00:05:13,2
Fort Worth,20210125,Dallas-Ft. Worth TX,Texas,5,3,7,42.86%,3.71,00:07:48,1
Houston,20210112,Houston TX,Texas,5,5,5,60.00%,1.6,00:00:55,0
Heber City,20201215,Salt Lake City UT,Utah,5,5,7,28.57%,5.57,00:10:52,0
Heber City,20201221,Salt Lake City UT,Utah,5,3,9,22.22%,2.33,00:02:34,0
Heber City,20201231,Salt Lake City UT,Utah,5,3,8,37.50%,3.62,00:06:25,0
Park City,20201223,Salt Lake City UT,Utah,5,4,5,60.00%,1.6,00:00:10,0
Salt Lake City,20201229,Salt Lake City UT,Utah,5,5,6,66.67%,1.5,00:00:38,0
Salt Lake City,20210121,Salt Lake City UT,Utah,5,4,5,40.00%,2.4,00:05:36,0
Walla Walla,20210225,Yakima-Pasco-Richland-Kennewick WA,Washington,5,5,5,0.00%,3,00:00:09,0
Walla Walla,20210227,Yakima-Pasco-Richland-Kennewick WA,Washington,5,5,5,0.00%,3,00:00:09,0
Walla Walla,20210307,Yakima-Pasco-Richland-Kennewick WA,Washington,5,5,5,0.00%,2.8,00:00:08,0
(not set),20201221,(not set),(not set),4,4,4,100.00%,1,00:00:00,0
(not set),20210113,(not set),(not set),4,4,4,100.00%,1,00:00:00,0
(not set),20210119,(not set),(not set),4,4,4,100.00%,1,00:00:00,0
(not set),20210123,(not set),(not set),4,4,6,100.00%,1,00:00:00,0
(not set),20210127,(not set),(not set),4,4,4,100.00%,1,00:00:00,0
(not set),20210129,(not set),(not set),4,4,4,75.00%,1.25,00:00:02,0
(not set),20210130,(not set),(not set),4,4,13,100.00%,1,00:00:00,0
(not set),20210210,(not set),Florida,4,3,5,40.00%,2.2,00:00:05,0
(not set),20210214,(not set),Maryland,4,4,4,25.00%,5.5,00:02:25,0
(not set),20210301,(not set),Florida,4,4,4,0.00%,3,00:00:09,0
Beijing,20210119,(not set),Beijing,4,4,4,100.00%,1,00:00:00,0
Helsinki,20210206,(not set),Uusimaa,4,4,4,100.00%,1,00:00:00,0
Los Angeles,20201222,Los Angeles CA,California,4,2,4,25.00%,2,00:00:53,0
Los Angeles,20201228,Los Angeles CA,California,4,3,7,42.86%,2.14,00:00:27,0
Los Angeles,20201229,Los Angeles CA,California,4,2,8,75.00%,1.88,00:02:06,0
Los Angeles,20201231,Los Angeles CA,California,4,3,4,25.00%,1.75,00:04:47,0
Los Angeles,20210102,Los Angeles CA,California,4,3,4,50.00%,1.75,00:01:34,0
Los Angeles,20210115,Los Angeles CA,California,4,3,4,25.00%,4,00:00:31,0
Los Angeles,20210117,Los Angeles CA,California,4,3,5,40.00%,3.4,00:01:13,0
Los Angeles,20210120,Los Angeles CA,California,4,3,4,50.00%,2.75,00:00:23,0
Los Angeles,20210121,Los Angeles CA,California,4,3,4,50.00%,2,00:00:21,0
Los Angeles,20210127,Los Angeles CA,California,4,4,6,50.00%,4.67,00:04:28,0
Los Angeles,20210128,Los Angeles CA,California,4,2,6,50.00%,3,00:02:15,1
Los Angeles,20210129,Los Angeles CA,California,4,1,4,50.00%,2.5,00:00:30,0
Los Angeles,20210206,Los Angeles CA,California,4,1,4,25.00%,1.25,00:02:35,0
Los Angeles,20210208,Los Angeles CA,California,4,3,7,85.71%,1.14,00:00:03,0
Los Angeles,20210211,Los Angeles CA,California,4,3,6,0.00%,4.83,00:04:21,0
Los Angeles,20210213,Los Angeles CA,California,4,3,4,75.00%,2.75,00:00:46,0
Los Angeles,20210214,Los Angeles CA,California,4,0,7,14.29%,3.86,00:02:48,1
Los Angeles,20210219,Los Angeles CA,California,4,2,5,20.00%,3.6,00:02:00,0
Los Angeles,20210220,Los Angeles CA,California,4,3,6,66.67%,2.67,00:00:34,0
Los Angeles,20210313,Los Angeles CA,California,4,3,5,40.00%,1.4,00:00:39,0
Los Angeles,20210316,Los Angeles CA,California,4,2,8,50.00%,2.25,00:02:23,1
Menlo Park,20210217,San Francisco-Oakland-San Jose CA,California,4,4,4,100.00%,1,00:00:00,0
Rancho Palos Verdes,20210224,Los Angeles CA,California,4,4,4,25.00%,7,00:11:05,3
San Diego,20210206,San Diego CA,California,4,4,5,80.00%,1.2,00:00:01,0
San Diego,20210210,San Diego CA,California,4,3,5,0.00%,10,00:13:14,1
San Diego,20210218,San Diego CA,California,4,3,5,20.00%,3.6,00:04:11,0
San Francisco,20210207,San Francisco-Oakland-San Jose CA,California,4,4,5,40.00%,3.6,00:03:40,1
Denver,20210224,Denver CO,Colorado,4,4,5,0.00%,4.8,00:05:04,0
Clermont,20210120,Orlando-Daytona Beach-Melbourne FL,Florida,4,4,4,0.00%,3,00:00:09,0
Clermont,20210130,Orlando-Daytona Beach-Melbourne FL,Florida,4,4,4,0.00%,3,00:00:10,0
Gainesville,20210316,Gainesville FL,Florida,4,2,4,50.00%,10,00:10:19,6
Jacksonville,20210214,Jacksonville FL,Florida,4,4,4,50.00%,2,00:00:33,0
Miami,20210301,Miami-Ft. Lauderdale FL,Florida,4,4,4,50.00%,3.5,00:01:40,0
Orlando,20210301,Orlando-Daytona Beach-Melbourne FL,Florida,4,4,4,50.00%,3.5,00:07:42,1
Atlanta,20210207,Atlanta GA,Georgia,4,4,6,16.67%,10.5,00:20:36,8
Atlanta,20210208,Atlanta GA,Georgia,4,4,4,75.00%,2.25,00:00:18,0
Atlanta,20210213,Atlanta GA,Georgia,4,2,4,50.00%,1.25,00:00:21,0
Des Moines,20210216,Des Moines-Ames IA,Iowa,4,4,4,25.00%,1.75,00:00:14,0
Chicago,20210103,Chicago IL,Illinois,4,4,4,100.00%,1,00:00:00,0
Chicago,20210126,Chicago IL,Illinois,4,4,4,75.00%,2,00:00:13,0
Chicago,20210211,Chicago IL,Illinois,4,3,5,40.00%,2.6,00:03:27,1
Glenview,20210125,Chicago IL,Illinois,4,4,4,0.00%,4.25,00:03:39,2
Bowie,20210103,Washington DC (Hagerstown MD),Maryland,4,3,4,75.00%,1.25,00:00:00,0
Turner,20210105,Portland-Auburn ME,Maine,4,4,4,0.00%,3,00:00:09,0
Turner,20210111,Portland-Auburn ME,Maine,4,4,4,0.00%,3,00:00:08,0
Turner,20210113,Portland-Auburn ME,Maine,4,4,4,0.00%,3,00:00:09,0
Turner,20210116,Portland-Auburn ME,Maine,4,4,4,0.00%,2.75,00:00:09,0
Turner,20210130,Portland-Auburn ME,Maine,4,4,4,0.00%,3,00:00:11,0
Turner,20210131,Portland-Auburn ME,Maine,4,4,4,0.00%,2.5,00:00:08,0
Las Vegas,20210130,Las Vegas NV,Nevada,4,3,4,75.00%,1.25,00:00:35,0
New York,20210118,"New York, NY",New York,4,4,4,25.00%,4.25,00:03:07,0
New York,20210127,"New York, NY",New York,4,4,4,50.00%,2.5,00:01:29,0
New York,20210207,"New York, NY",New York,4,4,4,0.00%,6.25,00:18:46,0
New York,20210208,"New York, NY",New York,4,2,7,14.29%,5.29,00:06:30,3
New York,20210212,"New York, NY",New York,4,4,5,0.00%,6.4,00:05:11,3
New York,20210222,"New York, NY",New York,4,4,6,0.00%,5.67,00:02:47,0
New York,20210301,"New York, NY",New York,4,4,4,25.00%,3,00:01:15,0
New York,20210304,"New York, NY",New York,4,3,4,50.00%,2,00:01:13,0
New York,20210314,"New York, NY",New York,4,4,5,0.00%,3.2,00:01:59,0
New York,20210317,"New York, NY",New York,4,4,5,40.00%,2,00:00:52,0
Rochester,20210114,Rochester NY,New York,4,4,4,0.00%,2.75,00:00:08,0
Rochester,20210118,Rochester NY,New York,4,4,4,0.00%,3,00:00:08,0
Rochester,20210120,Rochester NY,New York,4,4,4,0.00%,3,00:00:09,0
Rochester,20210210,Rochester NY,New York,4,4,4,0.00%,3,00:00:09,0
Rochester,20210211,Rochester NY,New York,4,4,4,0.00%,3,00:00:09,0
Rochester,20210219,Rochester NY,New York,4,4,4,0.00%,3,00:00:09,0
Rochester,20210223,Rochester NY,New York,4,4,4,0.00%,3,00:00:09,0
Rochester,20210228,Rochester NY,New York,4,4,4,0.00%,3,00:00:09,0
Rochester,20210302,Rochester NY,New York,4,4,4,0.00%,3,00:00:09,0
Austin,20201230,Austin TX,Texas,4,2,4,75.00%,2.75,00:04:33,0
Austin,20210101,Austin TX,Texas,4,3,4,75.00%,2,00:00:28,0
Austin,20210128,Austin TX,Texas,4,3,4,25.00%,4.5,00:09:12,0
Austin,20210202,Austin TX,Texas,4,3,5,40.00%,3.8,00:04:41,0
Dallas,20210125,Dallas-Ft. Worth TX,Texas,4,3,4,100.00%,1,00:00:00,0
Dallas,20210131,Dallas-Ft. Worth TX,Texas,4,1,6,83.33%,1.17,00:00:09,0
Dallas,20210208,Dallas-Ft. Worth TX,Texas,4,4,6,33.33%,5.33,00:04:34,0
Dallas,20210218,Dallas-Ft. Worth TX,Texas,4,4,4,50.00%,3.25,00:00:48,0
Dallas,20210221,Dallas-Ft. Worth TX,Texas,4,4,4,75.00%,2,00:01:54,0
Dallas,20210228,Dallas-Ft. Worth TX,Texas,4,4,4,100.00%,1,00:00:00,0
Houston,20210108,Houston TX,Texas,4,3,4,75.00%,2.25,00:06:18,0
Houston,20210111,Houston TX,Texas,4,4,5,40.00%,3.2,00:02:26,0
Houston,20210117,Houston TX,Texas,4,4,4,75.00%,3.25,00:02:39,1
Houston,20210119,Houston TX,Texas,4,4,6,16.67%,4.33,00:09:00,0
Houston,20210125,Houston TX,Texas,4,2,4,100.00%,1,00:00:00,0
Houston,20210218,Houston TX,Texas,4,4,5,40.00%,6.4,00:03:04,2
Houston,20210221,Houston TX,Texas,4,4,4,25.00%,2,00:00:19,0
Houston,20210228,Houston TX,Texas,4,4,4,50.00%,4.75,00:05:48,1
Houston,20210305,Houston TX,Texas,4,4,4,50.00%,1.75,00:00:57,0
Houston,20210309,Houston TX,Texas,4,4,4,50.00%,1.5,00:00:13,0
San Antonio,20201222,San Antonio TX,Texas,4,4,4,75.00%,1.25,00:00:10,0
San Antonio,20210116,San Antonio TX,Texas,4,3,4,75.00%,2,00:00:07,0
Heber City,20210102,Salt Lake City UT,Utah,4,2,5,60.00%,1.4,00:00:44,0
Heber City,20210106,Salt Lake City UT,Utah,4,2,5,40.00%,2.8,00:05:12,0
Heber City,20210111,Salt Lake City UT,Utah,4,4,4,100.00%,1,00:00:00,0
Heber City,20210116,Salt Lake City UT,Utah,4,3,4,75.00%,1.25,00:00:21,0
Heber City,20210216,Salt Lake City UT,Utah,4,3,5,40.00%,3.2,00:01:07,0
Park City,20201227,Salt Lake City UT,Utah,4,4,4,25.00%,3.5,00:01:26,0
Park City,20210101,Salt Lake City UT,Utah,4,3,4,75.00%,1.25,00:00:33,0
Park City,20210103,Salt Lake City UT,Utah,4,3,4,50.00%,3,00:00:42,0
Park City,20210104,Salt Lake City UT,Utah,4,3,4,75.00%,1.25,00:00:05,0
Park City,20210108,Salt Lake City UT,Utah,4,4,4,50.00%,2.5,00:01:19,0
Park City,20210207,Salt Lake City UT,Utah,4,3,4,50.00%,2.75,00:02:13,0
Park City,20210212,Salt Lake City UT,Utah,4,1,4,75.00%,2.5,00:03:06,1
Salt Lake City,20210107,Salt Lake City UT,Utah,4,4,4,50.00%,2.75,00:00:35,0
Salt Lake City,20210212,Salt Lake City UT,Utah,4,2,5,60.00%,2.6,00:06:56,1
Salt Lake City,20210225,Salt Lake City UT,Utah,4,4,4,25.00%,2.5,00:01:16,0
Charlottesville,20210103,Charlottesville VA,Virginia,4,4,4,100.00%,1,00:00:00,0
Walla Walla,20210213,Yakima-Pasco-Richland-Kennewick WA,Washington,4,4,4,0.00%,3,00:00:09,0
Walla Walla,20210217,Yakima-Pasco-Richland-Kennewick WA,Washington,4,4,4,0.00%,3,00:00:09,0
Walla Walla,20210218,Yakima-Pasco-Richland-Kennewick WA,Washington,4,4,4,0.00%,3,00:00:09,0
Cheyenne,20210205,Cheyenne WY-Scottsbluff NE,Wyoming,4,4,4,100.00%,1,00:00:00,0
Crozet,20210109,Charlottesville VA,Virginia,4,4,4,100.00%,1,00:00:00,0
(not set),20201224,(not set),(not set),3,3,3,100.00%,1,00:00:00,0
(not set),20201226,(not set),(not set),3,3,3,100.00%,1,00:00:00,0
(not set),20201228,(not set),(not set),3,3,3,66.67%,3,00:00:29,0
(not set),20210103,(not set),(not set),3,3,3,100.00%,1,00:00:00,0
(not set),20210105,(not set),Utah,3,3,3,100.00%,1,00:00:00,0
(not set),20210106,(not set),(not set),3,2,3,66.67%,2.67,00:00:31,0
(not set),20210111,(not set),Utah,3,3,3,100.00%,1,00:00:00,0
(not set),20210112,(not set),(not set),3,3,3,100.00%,1,00:00:00,0
(not set),20210128,(not set),Mississippi,3,3,5,40.00%,4.4,00:07:05,2
(not set),20210202,(not set),(not set),3,3,3,100.00%,1,00:00:00,0
(not set),20210206,(not set),(not set),3,3,3,100.00%,1,00:00:00,0
(not set),20210208,(not set),Florida,3,3,3,33.33%,2,00:00:05,0
(not set),20210215,(not set),Florida,3,3,3,0.00%,3.33,00:00:41,0
(not set),20210216,(not set),Florida,3,3,3,0.00%,3,00:00:10,0
(not set),20210217,(not set),Florida,3,3,3,0.00%,3.33,00:00:11,0
(not set),20210219,(not set),Florida,3,3,3,0.00%,3,00:00:09,0
(not set),20210222,(not set),Florida,3,3,3,0.00%,3,00:01:11,0
(not set),20210223,(not set),Florida,3,3,3,0.00%,3,00:00:09,0
(not set),20210224,(not set),Florida,3,3,3,0.00%,3,00:00:10,0
(not set),20210224,(not set),Mississippi,3,1,4,0.00%,4.75,00:02:43,0
(not set),20210225,(not set),Florida,3,3,3,0.00%,3,00:00:09,0
(not set),20210227,(not set),Florida,3,3,3,0.00%,3,00:00:10,0
(not set),20210302,(not set),Florida,3,3,3,0.00%,4.67,00:07:53,0
(not set),20210304,(not set),Florida,3,3,3,0.00%,3,00:00:09,0
(not set),20210305,(not set),Florida,3,3,3,0.00%,3,00:00:09,0
(not set),20210307,(not set),New Jersey,3,2,3,0.00%,20.67,00:17:52,1
(not set),20210308,(not set),Florida,3,3,3,0.00%,3,00:00:09,0
Helsinki,20210107,(not set),Uusimaa,3,3,3,100.00%,1,00:00:00,0
Helsinki,20210109,(not set),Uusimaa,3,2,10,100.00%,1,00:00:00,0
Helsinki,20210217,(not set),Uusimaa,3,3,3,100.00%,1,00:00:00,0
Hyderabad,20210317,(not set),Telangana,3,3,3,66.67%,1.33,00:00:24,0
Nagoya,20210112,JP_CHUKYO,Aichi,3,3,4,50.00%,4.25,00:00:32,0
Moscow,20210217,(not set),Moscow,3,2,3,66.67%,1.67,00:00:34,0
Fresno,20210214,Fresno-Visalia CA,California,3,2,3,100.00%,1,00:00:00,0
Los Angeles,20201221,Los Angeles CA,California,3,1,3,66.67%,2,00:01:04,0
