# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Client_Info,,,,,,,,,,
# 20201001-20210320,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Date,Metro,Region,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions
Farragut,20210114,Knoxville TN,Tennessee,1,1,1,100.00%,1,00:00:00,0
Farragut,20210118,Knoxville TN,Tennessee,1,1,1,0.00%,7,00:09:03,1
Farragut,20210124,Knoxville TN,Tennessee,1,1,1,0.00%,7,00:25:55,0
Farragut,20210125,Knoxville TN,Tennessee,1,0,1,100.00%,1,00:00:00,0
Farragut,20210126,Knoxville TN,Tennessee,1,0,1,100.00%,1,00:00:00,0
Five Corners,20210218,Portland OR,Washington,1,1,1,100.00%,1,00:00:00,0
Five Corners,20210219,Portland OR,Washington,1,0,1,100.00%,1,00:00:00,0
Forest Acres,20210306,Columbia SC,South Carolina,1,1,1,100.00%,1,00:00:00,0
Forest Hills,20210124,Grand Rapids-Kalamazoo-Battle Creek MI,Michigan,1,1,2,0.00%,6.5,00:01:35,0
Four Corners,20210204,Orlando-Daytona Beach-Melbourne FL,Florida,1,1,1,0.00%,2,00:00:18,0
Four Corners,20210223,Orlando-Daytona Beach-Melbourne FL,Florida,1,1,1,0.00%,9,00:02:37,0
Four Corners,20210225,Orlando-Daytona Beach-Melbourne FL,Florida,1,0,2,0.00%,9.5,00:03:40,3
Four Corners,20210308,Orlando-Daytona Beach-Melbourne FL,Florida,1,1,1,100.00%,1,00:00:00,0
Franconia,20210215,Washington DC (Hagerstown MD),Virginia,1,1,1,0.00%,13,01:07:33,1
Franklin Township,20210219,"New York, NY",New Jersey,1,1,1,100.00%,1,00:00:00,0
Fruit Cove,20210210,Jacksonville FL,Florida,1,1,1,100.00%,1,00:00:00,0
Fruit Cove,20210214,Jacksonville FL,Florida,1,1,1,0.00%,2,00:01:31,0
Fulshear,20210103,Houston TX,Texas,1,1,2,100.00%,1,00:00:00,0
Fulshear,20210114,Houston TX,Texas,1,1,1,0.00%,17,00:14:18,0
Fulshear,20210210,Houston TX,Texas,1,1,1,100.00%,1,00:00:00,0
Fulshear,20210214,Houston TX,Texas,1,0,1,100.00%,1,00:00:00,0
Fulshear,20210226,Houston TX,Texas,1,1,3,33.33%,6.33,00:08:09,2
Fulshear,20210228,Houston TX,Texas,1,0,1,100.00%,1,00:00:00,0
Fulshear,20210315,Houston TX,Texas,1,1,1,0.00%,7,00:01:47,0
Germantown Hills,20210316,Peoria-Bloomington IL,Illinois,1,1,2,50.00%,2.5,00:00:29,0
Glenvar Heights,20210129,Miami-Ft. Lauderdale FL,Florida,1,1,1,0.00%,2,00:00:14,0
Golden Gate,20210211,Ft. Myers-Naples FL,Florida,1,1,1,0.00%,3,00:18:08,0
Golden Gate,20210212,Ft. Myers-Naples FL,Florida,1,0,2,100.00%,1,00:00:00,0
Golden Gate,20210213,Ft. Myers-Naples FL,Florida,1,0,2,100.00%,1,00:00:00,0
Gonzalez,20210307,Mobile AL-Pensacola (Ft. Walton Beach) FL,Florida,1,1,1,100.00%,1,00:00:00,0
Granite Bay,20210123,Sacramento-Stockton-Modesto CA,California,1,1,1,100.00%,1,00:00:00,0
Greater Carrollwood,20210202,Tampa-St. Petersburg (Sarasota) FL,Florida,1,1,1,100.00%,1,00:00:00,0
Greenbrier,20210208,Nashville TN,Tennessee,1,1,1,0.00%,2,00:02:22,0
Grosse Pointe Farms,20210120,Detroit MI,Michigan,1,1,2,0.00%,4.5,00:00:56,0
Groveton,20210303,Washington DC (Hagerstown MD),Virginia,1,1,1,0.00%,4,00:01:29,0
Hamilton Township,20210202,Philadelphia PA,New Jersey,1,1,1,100.00%,1,00:00:00,0
Hamilton Township,20210311,Philadelphia PA,New Jersey,1,1,1,100.00%,1,00:00:00,0
Hamptons at Boca Raton,20210212,West Palm Beach-Ft. Pierce FL,Florida,1,1,1,0.00%,5,00:09:12,0
Hamptons at Boca Raton,20210215,West Palm Beach-Ft. Pierce FL,Florida,1,0,4,25.00%,5.25,00:07:06,2
Hamptons at Boca Raton,20210218,West Palm Beach-Ft. Pierce FL,Florida,1,0,1,100.00%,1,00:00:00,0
Hapeville,20210213,Atlanta GA,Georgia,1,1,3,0.00%,7.33,00:17:17,1
Heathrow,20210223,Orlando-Daytona Beach-Melbourne FL,Florida,1,1,1,0.00%,2,00:00:10,0
Herriman,20201217,Salt Lake City UT,Utah,1,1,1,0.00%,3,00:05:27,0
Herriman,20201231,Salt Lake City UT,Utah,1,1,1,0.00%,2,00:00:55,0
Herriman,20210101,Salt Lake City UT,Utah,1,0,2,100.00%,1,00:00:00,0
Herriman,20210320,Salt Lake City UT,Utah,1,1,1,0.00%,2,00:00:37,0
Hialeah Gardens,20210203,Miami-Ft. Lauderdale FL,Florida,1,1,1,100.00%,1,00:00:00,0
Hialeah Gardens,20210309,Miami-Ft. Lauderdale FL,Florida,1,1,1,0.00%,2,00:00:56,0
Highland,20201227,Salt Lake City UT,Utah,1,1,1,100.00%,1,00:00:00,0
Highland Park,20210120,Dallas-Ft. Worth TX,Texas,1,1,1,100.00%,1,00:00:00,0
Highland Village,20201231,Dallas-Ft. Worth TX,Texas,1,1,1,100.00%,1,00:00:00,0
Highland Village,20210101,Dallas-Ft. Worth TX,Texas,1,1,1,100.00%,1,00:00:00,0
Highlands Ranch,20210130,Denver CO,Colorado,1,1,1,100.00%,1,00:00:00,0
Highlands Ranch,20210218,Denver CO,Colorado,1,1,1,100.00%,1,00:00:00,0
Hingham,20210228,Boston MA-Manchester NH,Massachusetts,1,1,1,100.00%,1,00:00:00,0
Holladay,20201227,Salt Lake City UT,Utah,1,1,1,100.00%,1,00:00:00,0
Holladay,20210128,Salt Lake City UT,Utah,1,1,1,100.00%,1,00:00:00,0
Holladay,20210310,Salt Lake City UT,Utah,1,1,1,100.00%,1,00:00:00,0
Holmes Beach,20210209,Tampa-St. Petersburg (Sarasota) FL,Florida,1,1,1,100.00%,1,00:00:00,0
Homewood,20210210,Birmingham (Ann and Tusc) AL,Alabama,1,1,1,0.00%,10,00:05:01,0
Homewood,20210317,Birmingham (Ann and Tusc) AL,Alabama,1,1,1,100.00%,1,00:00:00,0
Hoover,20210125,Birmingham (Ann and Tusc) AL,Alabama,1,1,1,0.00%,3,00:06:42,0
Hoover,20210206,Birmingham (Ann and Tusc) AL,Alabama,1,1,1,0.00%,1,00:04:01,0
Hoover,20210207,Birmingham (Ann and Tusc) AL,Alabama,1,1,2,0.00%,5.5,00:14:47,0
Hoover,20210215,Birmingham (Ann and Tusc) AL,Alabama,1,0,1,100.00%,1,00:00:00,0
Hoover,20210216,Birmingham (Ann and Tusc) AL,Alabama,1,1,1,0.00%,13,00:05:30,0
Hoover,20210219,Birmingham (Ann and Tusc) AL,Alabama,1,1,1,0.00%,4,00:01:47,0
Hoover,20210221,Birmingham (Ann and Tusc) AL,Alabama,1,1,1,0.00%,4,00:01:46,0
Hoover,20210224,Birmingham (Ann and Tusc) AL,Alabama,1,1,2,50.00%,3.5,00:03:20,0
Hoover,20210310,Birmingham (Ann and Tusc) AL,Alabama,1,1,1,100.00%,1,00:00:00,0
Hoover,20210311,Birmingham (Ann and Tusc) AL,Alabama,1,1,1,0.00%,8,00:11:03,0
Hoover,20210313,Birmingham (Ann and Tusc) AL,Alabama,1,1,1,100.00%,1,00:00:00,0
Hoover,20210317,Birmingham (Ann and Tusc) AL,Alabama,1,1,1,100.00%,1,00:00:00,0
Hoover,20210319,Birmingham (Ann and Tusc) AL,Alabama,1,1,1,0.00%,4,00:03:29,0
Hopkinton,20210216,Boston MA-Manchester NH,Massachusetts,1,1,1,100.00%,1,00:00:00,0
