# ----------------------------------------,,,,,,,,,,,,,,,,,,,,,,
# All Web Site Data,,,,,,,,,,,,,,,,,,,,,,
# Flat File Report,,,,,,,,,,,,,,,,,,,,,,
# 20201001-20210320,,,,,,,,,,,,,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Date,Hour of Day,Screen Name,% Sessions with Search,Avg. % Conversion Probability,Avg. Search Depth,Avg. Value,Entrances,Entrances / Pageviews,Event Value,Events / Session with Event,Results Pageviews,Search Depth,Search Exits,Search Refinements,Sessions with Event,Sessions with Search,Time after Search,Time on Page,Time on Screen,Total Events,Unique Dimension Combinations,Unique Events
20210224,2021022417,deals.hwy40skidelivery.com/,0.00%,0,0,0,8,88.89%,0,0,0,0,0,0,0,0,00:00:00,00:01:23,00:00:00,0,9,0
20210224,2021022417,fareharbor.com/embeds/book/hwy40skidelivery/cart/?u=ID,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,00:00:00,00:11:38,00:00:00,0,3,0
20210224,2021022417,fareharbor.com/embeds/book/hwy40skidelivery/cart/?u=ID&flow=469149,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,00:00:00,00:02:14,00:00:00,0,1,0
20210224,2021022417,fareharbor.com/embeds/book/hwy40skidelivery/items/?flow=468740,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,00:00:00,00:00:03,00:00:00,0,1,0
20210224,2021022417,fareharbor.com/embeds/book/hwy40skidelivery/items/?flow=469149,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,00:00:00,00:00:03,00:00:00,0,1,0
20210224,2021022417,fareharbor.com/embeds/book/hwy40skidelivery/items/264209/availability/531774383/book/,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,00:00:00,00:10:39,00:00:00,0,1,0
20210224,2021022417,fareharbor.com/embeds/book/hwy40skidelivery/items/264209/calendar/2021/02/,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,00:00:00,00:00:37,00:00:00,0,1,0
20210224,2021022417,fareharbor.com/embeds/book/hwy40skidelivery/items/264294/availability/531973897/book/,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,00:00:00,00:28:43,00:00:00,0,3,0
20210224,2021022417,fareharbor.com/embeds/book/hwy40skidelivery/items/264294/availability/531973897/book/?flow=469149,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,00:00:00,00:00:33,00:00:00,0,1,0
20210224,2021022417,fareharbor.com/embeds/book/hwy40skidelivery/items/264294/booking/ID/,0.00%,0,0,0,1,50.00%,0,0,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,0,2,0
20210224,2021022417,fareharbor.com/embeds/book/hwy40skidelivery/items/264294/calendar/2021/02/,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,00:00:00,00:01:53,00:00:00,0,4,0
20210224,2021022417,fareharbor.com/embeds/book/hwy40skidelivery/items/264294/calendar/2021/02/?flow=469149,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,00:00:00,00:00:05,00:00:00,0,1,0
20210224,2021022417,fareharbor.com/embeds/book/hwy40skidelivery/items/264301/availability/531984123/book/,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,0,1,0
