# ----------------------------------------,,,,,,,,
# All Web Site Data,,,,,,,,
# Client_Info,,,,,,,,
# 20200101-20210320,,,,,,,,
# ----------------------------------------,,,,,,,,
,,,,,,,,
City,Date,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions
New York,20210316,29,27,29,100.00%,1,00:00:00,0
(not set),20200702,26,26,26,96.15%,1.65,00:00:01,0
(not set),20210316,25,25,25,96.00%,1.04,<00:00:01,0
(not set),20201210,23,23,23,86.96%,1.61,00:00:03,0
(not set),20201008,22,22,22,95.45%,1.14,00:00:02,0
(not set),20200317,21,21,21,100.00%,1,00:00:00,0
(not set),20200420,21,21,21,100.00%,1,00:00:00,0
(not set),20201109,20,20,20,100.00%,1,00:00:00,0
(not set),20210113,20,19,20,95.00%,1.15,00:00:02,0
Chicago,20200104,20,20,20,100.00%,1,00:00:00,0
(not set),20200802,19,19,19,94.74%,1.05,00:00:01,0
(not set),20200906,19,19,19,89.47%,1.11,<00:00:01,0
Boardman,20200812,19,19,19,100.00%,1,00:00:00,0
(not set),20200118,18,18,18,83.33%,1.56,00:00:31,0
(not set),20200306,18,18,18,100.00%,1,00:00:00,0
Boardman,20201212,18,18,18,100.00%,1,00:00:00,0
(not set),20210215,16,16,16,87.50%,1.69,00:00:05,0
Lujan,20200106,16,16,16,100.00%,1,00:00:00,0
Salt Lake City,20201010,16,14,18,22.22%,3,00:02:40,1
Ashburn,20200121,16,16,16,100.00%,1,00:00:00,0
(not set),20200101,15,12,15,46.67%,2.93,00:02:31,1
Salt Lake City,20200918,15,12,23,21.74%,5.09,00:00:51,0
Salt Lake City,20201017,14,13,16,12.50%,3.94,00:06:32,0
(not set),20200518,13,13,13,100.00%,1,00:00:00,0
Chicago,20200309,13,13,13,61.54%,6.15,00:04:31,3
Salt Lake City,20200703,13,11,13,23.08%,3.62,00:02:11,1
Salt Lake City,20200124,12,11,14,35.71%,3.29,00:02:20,0
Heber City,20210212,11,10,13,15.38%,6.62,00:02:23,0
Salt Lake City,20200102,11,9,12,41.67%,3.17,00:01:03,1
Salt Lake City,20200215,11,11,11,45.45%,1.82,00:00:54,0
Salt Lake City,20200629,11,8,16,18.75%,3.69,00:03:15,2
Salt Lake City,20200711,11,9,14,21.43%,2.5,00:02:22,0
Salt Lake City,20200719,11,9,12,58.33%,1.67,00:00:05,0
Salt Lake City,20200926,11,10,16,25.00%,5.31,00:02:59,1
Salt Lake City,20201008,11,10,14,28.57%,3,00:01:10,2
