# ----------------------------------------,,,,,,,,,,,,,,,,,,,,,
# All Web Site Data,,,,,,,,,,,,,,,,,,,,,
# Flat File Report,,,,,,,,,,,,,,,,,,,,,
# 20200101-20200930,,,,,,,,,,,,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Date,Hour,Avg. Session Duration,Avg. Time on Page,Avg. Time on Screen,Bounce Rate,Bounces,Exits,Hits,New Users,Number of Sessions per User,Pages / Session,Pageviews,Results Pageviews / Search,Screen Views,Screens / Session,Session Duration,Sessions,Total Unique Searches,Unique Pageviews,Unique Screen Views,Users
20200823,13,00:17:08,00:01:33,00:00:00,33.33%,1,2,40,3,1,11.67,35,0,0,0,00:51:23,3,0,13,0,3
20200611,16,00:16:59,00:01:34,00:00:00,0.00%,0,2,18,1,0.5,17,17,0,0,0,00:16:59,1,0,6,0,2
20200602,17,00:16:47,00:05:34,00:00:00,0.00%,0,0,4,1,1,3,3,0,0,0,00:16:47,1,0,3,0,1
20200114,14,00:16:39,00:05:29,00:00:00,50.00%,1,1,7,1,1,3.5,7,0,0,0,00:33:18,2,0,5,0,2
20200110,13,00:16:38,00:07:51,00:00:00,0.00%,0,0,2,1,1,2,2,0,0,0,00:16:38,1,0,1,0,1
20200228,16,00:16:30,00:08:56,00:00:00,33.33%,1,2,4,2,1.5,1.33,4,0,0,0,00:49:31,3,0,4,0,2
20200721,7,00:16:18,00:02:48,00:00:00,0.00%,0,3,32,3,1.33,6.5,26,0,0,0,01:05:11,4,0,20,0,3
20200529,11,00:16:04,00:02:35,00:00:00,0.00%,0,1,14,2,1,6,12,0,0,0,00:32:07,2,0,11,0,2
20200910,21,00:16:00,00:01:27,00:00:00,0.00%,0,1,14,1,1,12,12,0,0,0,00:16:00,1,0,8,0,1
20200822,11,00:15:59,00:02:48,00:00:00,0.00%,0,2,18,3,1,5.67,17,0,0,0,00:47:58,3,0,10,0,3
20200217,16,00:15:56,00:02:02,00:00:00,0.00%,0,3,33,2,0.67,14.5,29,0,0,0,00:31:51,2,0,13,0,3
20200203,19,00:15:53,00:02:16,00:00:00,0.00%,0,2,18,1,1,8,16,0,0,0,00:31:45,2,0,9,0,2
20200405,17,00:15:52,00:15:52,00:00:00,0.00%,0,1,2,1,1,2,2,0,0,0,00:15:52,1,0,1,0,1
20200128,15,00:15:41,00:02:12,00:00:00,0.00%,0,2,26,2,1.5,7,21,0,0,0,00:47:03,3,0,19,0,2
20200102,21,00:15:41,00:02:37,00:00:00,0.00%,0,2,15,1,1,7,14,0,0,0,00:31:21,2,0,8,0,2
20200202,13,00:15:41,00:03:55,00:00:00,0.00%,0,2,10,2,1,5,10,0,0,0,00:31:21,2,0,6,0,2
20200528,8,00:15:31,00:03:06,00:00:00,0.00%,0,2,15,1,1,6,12,0,0,0,00:31:01,2,0,8,0,2
20200507,13,00:15:29,00:02:35,00:00:00,0.00%,0,1,7,0,1,7,7,0,0,0,00:15:29,1,0,5,0,1
20200525,11,00:15:15,00:02:17,00:00:00,0.00%,0,1,15,1,1,7,14,0,0,0,00:30:29,2,0,7,0,2
20200422,10,00:15:01,00:05:01,00:00:00,0.00%,0,1,4,1,1,4,4,0,0,0,00:15:01,1,0,3,0,1
20200209,10,00:14:57,00:01:25,00:00:00,0.00%,0,1,13,2,1,5,10,0,0,0,00:29:54,2,0,10,0,2
20200104,17,00:14:55,00:05:58,00:00:00,50.00%,1,2,7,2,1,3.5,7,0,0,0,00:29:49,2,0,7,0,2
20200108,20,00:14:54,00:01:39,00:00:00,0.00%,0,2,25,2,1,10,20,0,0,0,00:29:47,2,0,14,0,2
20200617,10,00:14:50,00:00:35,00:00:00,25.00%,1,3,17,3,1,4,16,0,0,0,00:59:19,4,0,10,0,4
20200203,22,00:14:49,00:02:21,00:00:00,0.00%,0,0,6,1,1,5,5,0,0,0,00:14:49,1,0,3,0,1
20200628,10,00:14:49,00:14:49,00:00:00,0.00%,0,1,3,1,1,1.5,3,0,0,0,00:29:38,2,0,3,0,2
20200505,17,00:14:44,00:07:21,00:00:00,0.00%,0,0,4,2,1,2,4,0,0,0,00:29:28,2,0,4,0,2
20200310,14,00:14:41,00:04:00,00:00:00,66.67%,2,3,15,2,1,4.67,14,0,0,0,00:44:04,3,0,12,0,3
20200119,16,00:14:40,00:02:02,00:00:00,20.00%,1,4,40,3,1.25,8,40,0,0,0,01:13:19,5,0,20,0,4
20200221,22,00:14:38,00:04:34,00:00:00,50.00%,2,3,15,3,1.33,3.5,14,0,0,0,00:58:33,4,0,11,0,3
20200113,7,00:14:37,00:01:16,00:00:00,0.00%,0,2,27,2,1,12.5,25,0,0,0,00:29:13,2,0,13,0,2
20200529,13,00:14:31,00:01:07,00:00:00,0.00%,0,1,14,1,1,14,14,0,0,0,00:14:31,1,0,7,0,1
20200606,17,00:14:29,00:04:08,00:00:00,0.00%,0,2,9,2,1,4.5,9,0,0,0,00:28:57,2,0,7,0,2
20200403,13,00:14:22,00:14:22,00:00:00,0.00%,0,1,2,1,1,2,2,0,0,0,00:14:22,1,0,1,0,1
20200607,19,00:14:17,00:08:01,00:00:00,0.00%,0,1,4,2,1,2,4,0,0,0,00:28:34,2,0,4,0,2
20200121,18,00:14:06,00:01:05,00:00:00,0.00%,0,1,15,1,1,14,14,0,0,0,00:14:06,1,0,9,0,1
20200815,8,00:14:05,00:02:42,00:00:00,0.00%,0,3,22,4,1,5,20,0,0,0,00:56:19,4,0,14,0,4
20200117,8,00:14:00,00:02:20,00:00:00,0.00%,0,2,11,1,0.5,8,8,0,0,0,00:14:00,1,0,5,0,2
20200227,6,00:13:59,00:08:23,00:00:00,33.33%,1,2,8,3,1,2.33,7,0,0,0,00:41:56,3,0,6,0,3
20200621,0,00:13:58,00:06:59,00:00:00,0.00%,0,1,3,1,1,3,3,0,0,0,00:13:58,1,0,2,0,1
20200923,11,00:13:58,00:01:33,00:00:00,0.00%,0,1,12,1,1,10,10,0,0,0,00:13:58,1,0,7,0,1
20200621,10,00:13:57,00:04:39,00:00:00,0.00%,0,2,9,2,1,4,8,0,0,0,00:27:54,2,0,5,0,2
20200209,19,00:13:55,00:01:06,00:00:00,0.00%,0,2,47,2,1,11.67,35,0,0,0,00:41:45,3,0,27,0,3
20200926,13,00:13:55,00:09:17,00:00:00,0.00%,0,1,4,1,1,2,4,0,0,0,00:27:50,2,0,2,0,2
20200517,8,00:13:52,00:03:36,00:00:00,0.00%,0,2,13,3,1,4.33,13,0,0,0,00:41:37,3,0,10,0,3
20200213,6,00:13:52,00:02:29,00:00:00,0.00%,0,0,4,0,1,4,4,0,0,0,00:13:52,1,0,4,0,1
20200118,0,00:13:51,00:03:28,00:00:00,0.00%,0,1,5,0,1,5,5,0,0,0,00:13:51,1,0,3,0,1
20200831,14,00:13:47,00:03:33,00:00:00,66.67%,2,2,11,2,1,3.67,11,0,0,0,00:41:22,3,0,9,0,3
20200706,16,00:13:47,00:03:27,00:00:00,0.00%,0,2,12,0,1,5,10,0,0,0,00:27:34,2,0,6,0,2
20200215,16,00:13:45,00:01:03,00:00:00,16.67%,1,4,48,5,1.2,7.33,44,0,0,0,01:22:29,6,0,33,0,5
20200813,6,00:13:44,00:01:43,00:00:00,0.00%,0,3,28,1,1.5,9,27,0,0,0,00:41:13,3,0,16,0,2
20200825,8,00:13:38,00:04:59,00:00:00,66.67%,2,2,10,2,1,3.33,10,0,0,0,00:40:53,3,0,7,0,3
20200817,14,00:13:24,00:02:52,00:00:00,0.00%,0,2,19,3,1,5.33,16,0,0,0,00:40:12,3,0,14,0,3
20200104,8,00:13:24,00:02:05,00:00:00,11.11%,1,9,75,6,1.29,7.44,67,0,0,0,02:00:32,9,0,46,0,7
20200301,6,00:13:23,00:03:03,00:00:00,0.00%,0,1,8,1,2,4,8,0,0,0,00:26:46,2,0,5,0,1
20200104,23,00:13:19,00:02:40,00:00:00,0.00%,0,1,6,1,1,6,6,0,0,0,00:13:19,1,0,2,0,1
20200122,15,00:13:17,00:00:51,00:00:00,33.33%,1,2,57,3,1,16.33,49,0,0,0,00:39:51,3,0,29,0,3
20200727,19,00:13:15,00:01:45,00:00:00,20.00%,1,4,28,4,1,5.2,26,0,0,0,01:06:13,5,0,16,0,5
20200705,13,00:13:14,00:00:53,00:00:00,0.00%,0,1,17,1,1,16,16,0,0,0,00:13:14,1,0,6,0,1
20200122,16,00:13:10,00:01:55,00:00:00,66.67%,2,3,18,2,0.75,5.33,16,0,0,0,00:39:31,3,0,10,0,4
20200224,15,00:13:10,00:03:12,00:00:00,0.00%,0,2,16,1,1.5,4.67,14,0,0,0,00:39:31,3,0,12,0,2
20200915,6,00:13:05,00:02:37,00:00:00,0.00%,0,1,9,1,1,6,6,0,0,0,00:13:05,1,0,6,0,1
20200311,15,00:13:01,00:03:33,00:00:00,0.00%,0,3,17,3,1,4.67,14,0,0,0,00:39:02,3,0,14,0,3
20200213,8,00:12:45,00:01:07,00:00:00,14.29%,1,6,84,3,1,10.29,72,0,0,0,01:29:13,7,0,43,0,7
20200806,10,00:12:43,00:01:41,00:00:00,0.00%,0,1,12,2,1,5.5,11,0,0,0,00:25:26,2,0,8,0,2
20200927,11,00:12:43,00:01:38,00:00:00,0.00%,0,4,24,2,0.5,12,24,0,0,0,00:25:26,2,0,13,0,4
20200612,7,00:12:43,00:02:19,00:00:00,50.00%,1,2,13,1,1,6.5,13,0,0,0,00:25:25,2,0,7,0,2
20200208,15,00:12:35,00:06:18,00:00:00,0.00%,0,1,5,1,1,3,3,0,0,0,00:12:35,1,0,2,0,1
