# ----------------------------------------
# All Web Site Data
# Flat File Report
# 20201001-20210314
# ----------------------------------------

Date,Hour,Avg. Session Duration,Avg. Time on Page,Avg. Time on Screen,Bounce Rate,Bounces,Exits,Hits,New Users,Number of Sessions per User,Pages / Session,Pageviews,Results Pageviews / Search,Screen Views,Screens / Session,Session Duration,Sessions,Total Unique Searches,Unique Pageviews,Unique Screen Views,Users
20210301,19,00:16:40,00:08:46,00:00:00,0.00%,0,2,4,1,0.50,4.00,4,0.00,0,0.00,00:16:40,1,0,2,0,2
20210114,08,00:16:30,00:01:02,00:00:00,0.00%,0,2,53,1,1.00,16.00,48,0.00,0,0.00,00:49:30,3,0,24,0,3
20210306,13,00:16:25,00:02:59,00:00:00,50.00%,1,2,13,0,1.00,6.50,13,0.00,0,0.00,00:32:49,2,0,9,0,2
20201129,14,00:16:07,00:16:07,00:00:00,0.00%,0,1,2,1,1.00,2.00,2,0.00,0,0.00,00:16:07,1,0,2,0,1
20201209,07,00:15:56,00:01:10,00:00:00,0.00%,0,0,7,1,1.00,7.00,7,0.00,0,0.00,00:15:56,1,0,3,0,1
20210214,07,00:15:54,00:01:35,00:00:00,0.00%,0,2,25,2,1.00,11.00,22,0.00,0,0.00,00:31:47,2,0,14,0,2
20210106,06,00:15:34,00:02:23,00:00:00,0.00%,0,0,12,2,1.00,5.50,11,0.00,0,0.00,00:31:08,2,0,9,0,2
20210203,15,00:15:28,00:01:56,00:00:00,0.00%,0,1,12,0,1.00,9.00,9,0.00,0,0.00,00:15:28,1,0,9,0,1
20210216,15,00:15:26,00:02:33,00:00:00,12.50%,1,5,43,6,1.00,4.88,39,0.00,0,0.00,02:03:26,8,0,26,0,8
20210128,21,00:15:02,00:02:30,00:00:00,0.00%,0,1,7,1,1.00,7.00,7,0.00,0,0.00,00:15:02,1,0,2,0,1
20201219,21,00:14:52,00:06:56,00:00:00,0.00%,0,0,2,1,1.00,2.00,2,0.00,0,0.00,00:14:52,1,0,2,0,1
20210121,06,00:14:48,00:04:56,00:00:00,0.00%,0,3,12,2,1.00,4.00,12,0.00,0,0.00,00:44:23,3,0,8,0,3
20201017,07,00:14:42,00:04:25,00:00:00,0.00%,0,2,12,3,1.00,4.00,12,0.00,0,0.00,00:44:06,3,0,7,0,3
20201017,16,00:14:29,00:02:38,00:00:00,0.00%,0,1,14,0,1.00,6.00,12,0.00,0,0.00,00:28:58,2,0,9,0,2
20201206,19,00:14:26,00:03:37,00:00:00,0.00%,0,1,5,1,1.00,5.00,5,0.00,0,0.00,00:14:26,1,0,3,0,1
20201125,13,00:14:16,00:07:46,00:00:00,0.00%,0,0,1,1,1.00,1.00,1,0.00,0,0.00,00:14:16,1,0,1,0,1
20210222,20,00:14:15,00:01:47,00:00:00,0.00%,0,1,12,1,1.00,9.00,9,0.00,0,0.00,00:14:15,1,0,7,0,1
20210314,20,00:14:12,00:02:35,00:00:00,0.00%,0,2,14,2,1.00,6.50,13,0.00,0,0.00,00:28:24,2,0,10,0,2
20201020,12,00:14:05,00:07:03,00:00:00,0.00%,0,1,3,1,1.00,3.00,3,0.00,0,0.00,00:14:05,1,0,3,0,1
20201226,23,00:14:02,00:04:41,00:00:00,0.00%,0,1,4,1,1.00,4.00,4,0.00,0,0.00,00:14:02,1,0,3,0,1
20201015,10,00:13:51,00:01:48,00:00:00,0.00%,0,1,17,2,1.00,8.00,16,0.00,0,0.00,00:27:42,2,0,8,0,2
20201015,07,00:13:47,00:01:53,00:00:00,0.00%,0,2,27,3,1.00,7.67,23,0.00,0,0.00,00:41:20,3,0,12,0,3
20201102,16,00:13:45,00:01:50,00:00:00,0.00%,0,1,18,2,1.00,8.00,16,0.00,0,0.00,00:27:30,2,0,11,0,2
20201013,21,00:13:41,00:09:05,00:00:00,50.00%,1,1,4,2,1.00,2.00,4,0.00,0,0.00,00:27:22,2,0,3,0,2
20201030,20,00:13:37,00:04:32,00:00:00,0.00%,0,1,4,1,1.00,4.00,4,0.00,0,0.00,00:13:37,1,0,3,0,1
20210217,22,00:13:36,00:00:51,00:00:00,0.00%,0,1,22,1,1.00,17.00,17,0.00,0,0.00,00:13:36,1,0,15,0,1
20210127,13,00:13:32,00:02:26,00:00:00,25.00%,1,3,18,3,1.00,4.00,16,0.00,0,0.00,00:54:06,4,0,13,0,4
20210314,12,00:13:21,00:00:28,00:00:00,33.33%,1,2,26,3,1.00,8.67,26,0.00,0,0.00,00:40:03,3,0,17,0,3
20210101,00,00:13:17,00:08:51,00:00:00,0.00%,0,1,4,2,1.00,2.00,4,0.00,0,0.00,00:26:34,2,0,3,0,2
20210307,18,00:12:51,00:03:13,00:00:00,50.00%,1,2,11,2,1.00,5.00,10,0.00,0,0.00,00:25:42,2,0,10,0,2
20210202,14,00:12:49,00:00:47,00:00:00,0.00%,0,5,67,3,0.83,12.00,60,0.00,0,0.00,01:04:05,5,0,34,0,6
