# ----------------------------------------,,,,,,,,
# All Web Site Data,,,,,,,,
# Client_Info,,,,,,,,
# 20200101-20210320,,,,,,,,
# ----------------------------------------,,,,,,,,
,,,,,,,,
City,Date,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions
Elk Grove Village,20210212,1,0,1,100.00%,1,00:00:00,0
Elk Grove Village,20210215,1,0,1,0.00%,18,00:12:05,2
Elmhurst,20200210,1,1,3,33.33%,12.67,00:07:04,2
Elmhurst,20200624,1,1,2,100.00%,1,00:00:00,0
Evanston,20200709,1,1,1,0.00%,2,00:00:10,0
Evanston,20201127,1,1,1,100.00%,1,00:00:00,0
Evanston,20210103,1,1,1,0.00%,7,00:01:14,0
Glenview,20210111,1,1,1,0.00%,3,00:01:01,0
Glenview,20210112,1,1,1,100.00%,1,00:00:00,0
Glenview,20210116,1,0,1,0.00%,3,00:00:22,0
Glenview,20210202,1,1,1,0.00%,7,00:02:35,0
Glenview,20210207,1,1,1,0.00%,13,00:03:26,0
Glenview,20210208,1,0,2,0.00%,4.5,00:01:23,1
Glenview,20210211,1,0,1,0.00%,9,00:10:39,1
Greenville,20200315,1,0,1,100.00%,1,00:00:00,0
Greenville,20200317,1,0,1,100.00%,1,00:00:00,0
Greenville,20200318,1,0,1,100.00%,1,00:00:00,0
Hinsdale,20200212,1,0,1,0.00%,17,00:22:39,2
Joliet,20200107,1,1,1,0.00%,7,00:02:13,0
La Grange,20201116,1,1,1,0.00%,3,00:00:45,0
La Grange Park,20200118,1,1,1,0.00%,5,00:07:47,0
La Grange Park,20200127,1,1,1,0.00%,13,00:13:12,1
Lake Forest,20210318,1,1,1,100.00%,1,00:00:00,0
Lemont,20201217,1,1,1,0.00%,2,00:00:11,0
Lisle,20200130,1,1,1,0.00%,10,00:05:38,0
Lombard,20200917,1,1,1,0.00%,9,00:01:28,0
Marion,20200725,1,1,1,0.00%,4,00:02:21,0
Marion,20200726,1,0,2,0.00%,13,00:04:51,0
Midlothian,20200827,1,1,1,100.00%,1,00:00:00,0
Mount Prospect,20210114,1,1,1,0.00%,3,00:00:56,0
Mundelein,20200131,1,1,1,0.00%,3,00:01:16,0
Mundelein,20201207,1,1,2,0.00%,4.5,00:00:53,0
Mundelein,20201221,1,0,1,0.00%,5,00:06:07,0
Mundelein,20201226,1,1,1,0.00%,3,00:01:10,0
Mundelein,20210103,1,1,1,0.00%,4,00:01:44,0
Naperville,20210213,1,1,1,100.00%,1,00:00:00,0
Niles,20200101,1,0,2,0.00%,4,00:00:48,0
Northbrook,20200304,1,1,1,0.00%,16,00:09:56,1
Northbrook,20201201,1,1,1,0.00%,5,00:00:21,0
Northbrook,20201204,1,0,1,0.00%,3,00:02:21,0
O'Fallon,20200920,1,1,1,0.00%,3,00:02:10,0
Oak Park,20210318,1,1,1,0.00%,9,00:05:05,0
Orland Park,20200514,1,1,1,0.00%,13,00:06:56,0
Orland Park,20200825,1,1,1,0.00%,3,00:00:19,0
Palatine,20200222,1,1,1,0.00%,2,00:00:03,0
Palatine,20201229,1,1,1,0.00%,2,00:00:17,0
River Forest,20200118,1,1,1,100.00%,1,00:00:00,0
Rockford,20200708,1,0,1,0.00%,8,00:02:07,0
Rockford,20200818,1,1,1,0.00%,2,00:01:20,0
Round Lake,20200107,1,1,1,0.00%,27,00:11:51,1
Schaumburg,20201220,1,1,1,0.00%,3,00:00:24,0
Schaumburg,20210109,1,1,1,0.00%,2,00:00:12,0
Skokie,20210131,1,1,1,0.00%,5,00:01:16,0
Springfield,20200629,1,1,1,0.00%,2,00:00:04,0
St. Charles,20201101,1,1,1,100.00%,1,00:00:00,0
Saint Joseph,20200726,1,1,1,0.00%,9,00:01:34,0
Saint Joseph,20200727,1,0,3,0.00%,5,00:00:37,0
Saint Joseph,20200728,1,0,1,0.00%,4,00:00:34,0
Saint Joseph,20200730,1,0,1,0.00%,15,00:01:58,0
Saint Joseph,20200731,1,1,1,0.00%,2,00:00:05,0
Saint Joseph,20200803,1,0,1,0.00%,2,00:00:07,0
Saint Joseph,20200806,1,1,1,0.00%,2,00:00:08,0
Saint Joseph,20200818,1,1,1,0.00%,2,00:00:05,0
Saint Joseph,20200831,1,1,1,0.00%,11,00:00:31,0
Saint Joseph,20200908,1,0,2,0.00%,7.5,00:01:18,0
Saint Joseph,20200910,1,0,1,0.00%,2,00:00:08,0
Summit,20200427,1,1,1,100.00%,1,00:00:00,0
Urbana,20200728,1,1,1,0.00%,2,00:00:26,0
Urbana,20200729,1,0,1,0.00%,2,00:00:17,0
Urbana,20200810,1,0,1,0.00%,16,00:02:54,0
Urbana,20200811,1,0,1,0.00%,6,00:01:07,0
Urbana,20200813,1,0,1,0.00%,4,00:00:25,0
Urbana,20200819,1,0,1,0.00%,12,00:01:41,0
Urbana,20200824,1,0,2,0.00%,6,00:00:18,0
Urbana,20200826,1,0,1,100.00%,1,00:00:00,0
Urbana,20200904,1,0,1,0.00%,2,00:00:08,0
Vernon Hills,20210105,1,0,1,0.00%,24,00:20:28,0
Vernon Hills,20210115,1,1,1,0.00%,3,00:02:30,0
Wauconda,20210304,1,1,2,100.00%,1,00:00:00,0
Westchester,20200205,1,1,1,0.00%,3,00:00:42,0
Wheeling,20210130,1,1,1,0.00%,2,00:00:07,0
Wilmette,20200615,1,1,1,0.00%,5,00:00:49,0
Winnetka,20200603,1,1,1,0.00%,2,00:00:23,0
Winnetka,20200809,1,1,1,0.00%,2,00:00:20,0
Winnetka,20200810,1,1,1,100.00%,1,00:00:00,0
Woodstock,20200707,1,1,1,0.00%,21,00:02:03,0
Bloomington,20200210,1,1,1,0.00%,3,00:01:00,0
Bloomington,20201228,1,1,1,100.00%,1,00:00:00,0
Bloomington,20201231,1,0,1,100.00%,1,00:00:00,0
Clinton,20201228,1,1,1,0.00%,7,00:03:25,0
Columbus,20201229,1,0,1,100.00%,1,00:00:00,0
Columbus,20210308,1,1,1,100.00%,1,00:00:00,0
Elkhart,20201003,1,1,1,100.00%,1,00:00:00,0
Evansville,20200203,1,1,1,0.00%,3,00:02:02,0
Fishers,20200920,1,1,1,0.00%,5,00:01:39,0
Fishers,20201228,1,1,1,0.00%,2,00:00:12,0
Fort Wayne,20200212,1,1,1,0.00%,10,00:14:09,0
Fort Wayne,20200622,1,1,1,0.00%,2,00:00:12,0
Howe,20200916,1,1,1,100.00%,1,00:00:00,0
Indianapolis,20200815,1,1,1,0.00%,2,00:01:36,0
Indianapolis,20200922,1,1,1,0.00%,3,00:00:42,0
Indianapolis,20201028,1,1,1,0.00%,2,00:00:05,0
Indianapolis,20210108,1,1,1,100.00%,1,00:00:00,0
Indianapolis,20210120,1,1,1,0.00%,3,00:00:44,0
Indianapolis,20210122,1,1,1,0.00%,2,00:03:21,0
Indianapolis,20210125,1,1,1,0.00%,2,00:00:08,0
Michigan City,20201229,1,1,1,0.00%,18,00:19:33,0
Michigan City,20201230,1,1,1,0.00%,9,00:03:38,0
Noblesville,20201208,1,1,1,100.00%,1,00:00:00,0
Notre Dame,20200115,1,1,1,0.00%,7,00:02:07,0
Richmond,20200430,1,1,1,100.00%,1,00:00:00,0
Schererville,20200124,1,1,1,100.00%,1,00:00:00,0
Terre Haute,20201219,1,1,1,0.00%,3,00:01:43,0
Vincennes,20200102,1,1,1,0.00%,5,00:00:30,0
Warsaw,20201018,1,1,1,0.00%,4,00:03:01,0
West Lafayette,20201027,1,1,1,0.00%,2,00:00:05,0
West Lafayette,20201123,1,1,1,100.00%,1,00:00:00,0
West Lafayette,20210225,1,1,1,0.00%,2,00:02:57,0
Westfield,20200825,1,1,1,0.00%,7,00:01:51,0
Augusta,20210312,1,0,1,0.00%,2,00:05:39,0
Augusta,20210316,1,0,1,100.00%,1,00:00:00,0
Coffeyville,20210127,1,1,1,0.00%,2,00:01:00,0
Goodland,20210305,1,1,2,0.00%,4,00:00:38,0
Goodland,20210310,1,0,2,0.00%,2,00:00:15,0
Kansas City,20210312,1,0,1,0.00%,10,00:06:39,0
Kansas City,20210316,1,0,2,0.00%,7,00:19:27,1
Leavenworth,20200212,1,1,1,0.00%,2,00:00:05,0
Leavenworth,20200612,1,1,1,0.00%,12,00:25:25,0
Lenexa,20200106,1,0,1,100.00%,1,00:00:00,0
Lenexa,20200722,1,1,1,0.00%,4,00:00:43,0
Lenexa,20200831,1,1,1,100.00%,1,00:00:00,0
Olathe,20200201,1,1,1,0.00%,16,00:20:38,2
Olathe,20200206,1,0,1,0.00%,3,00:02:56,0
Overland Park,20200109,1,1,1,0.00%,5,00:03:36,0
Overland Park,20200114,1,1,1,0.00%,7,00:07:00,0
Overland Park,20210125,1,1,1,0.00%,2,00:00:17,0
Parsons,20210212,1,1,1,100.00%,1,00:00:00,0
Parsons,20210214,1,1,1,100.00%,1,00:00:00,0
Shawnee,20200608,1,1,1,0.00%,2,00:00:14,0
Shawnee,20210215,1,1,1,100.00%,1,00:00:00,0
Topeka,20201127,1,1,1,0.00%,7,00:01:34,0
Topeka,20201208,1,1,1,0.00%,2,00:00:04,0
Wichita,20200114,1,1,1,0.00%,4,00:00:11,0
Wichita,20200122,1,1,1,0.00%,40,00:20:16,3
Wichita,20210125,1,1,1,0.00%,19,00:09:06,2
Alexandria,20200110,1,1,2,0.00%,2.5,00:00:35,0
Bowling Green,20200221,1,0,2,0.00%,4.5,00:14:11,1
Bowling Green,20200313,1,1,1,100.00%,1,00:00:00,0
Frankfort,20200130,1,1,1,0.00%,5,00:00:59,0
Fort Thomas,20200107,1,1,1,0.00%,2,00:00:13,0
Fort Thomas,20201007,1,1,1,0.00%,2,00:00:12,0
Hazard,20200105,1,1,1,0.00%,8,00:01:10,0
La Grange,20200814,1,1,1,0.00%,2,00:00:04,0
Lexington,20200201,1,1,1,0.00%,13,00:15:23,0
Lexington,20200217,1,1,1,0.00%,2,00:10:20,0
Lexington,20200220,1,0,1,100.00%,1,00:00:00,0
Lexington,20200908,1,1,1,0.00%,13,00:03:22,0
Lexington,20210106,1,1,1,0.00%,5,00:01:12,0
Lexington,20210124,1,0,1,0.00%,31,00:23:45,1
Lexington,20210220,1,1,1,100.00%,1,00:00:00,0
Lexington,20210222,1,1,1,100.00%,1,00:00:00,0
Louisville,20200219,1,1,1,0.00%,16,00:04:53,0
