# ----------------------------------------,,,,,,,,
# All Web Site Data,,,,,,,,
# Client_Info,,,,,,,,
# 20200101-20210320,,,,,,,,
# ----------------------------------------,,,,,,,,
,,,,,,,,
Browser,Device Category,Date,Sessions,Avg. Session Duration,Bounce Rate,Users,Pages / Session,Transactions
Chrome,desktop,20200904,23,00:05:25,26.09%,21,3.57,1
Chrome,desktop,20201007,23,00:01:47,17.39%,17,4.43,1
Chrome,desktop,20210125,23,00:01:03,26.09%,20,2.61,0
Chrome,desktop,20210127,23,00:04:24,21.74%,23,5.83,3
Chrome,desktop,20210224,23,00:03:30,17.39%,20,6.83,6
Edge,desktop,20210316,23,00:01:44,86.96%,22,1.61,1
Safari,mobile,20200628,23,00:02:28,30.43%,14,3.52,0
Safari,mobile,20200708,23,00:02:09,43.48%,17,2.61,0
Safari,mobile,20200820,23,00:01:28,30.43%,18,3.17,1
Safari,mobile,20200917,23,00:03:15,43.48%,18,3.09,2
Safari,mobile,20201016,23,00:01:02,26.09%,18,3.22,0
Safari,mobile,20201215,23,00:04:14,13.04%,15,5.09,1
Safari,mobile,20201226,23,00:01:31,52.17%,21,3.39,1
Safari,mobile,20210217,23,00:03:14,52.17%,22,2.96,1
Safari,mobile,20210226,23,00:01:38,43.48%,22,3.52,2
Chrome,desktop,20200114,22,00:04:07,31.82%,22,4.32,2
Chrome,desktop,20200210,22,00:04:01,18.18%,19,6.82,8
Chrome,desktop,20200625,22,00:01:46,27.27%,22,3.36,0
Chrome,desktop,20200629,22,00:04:36,9.09%,19,5.45,2
Chrome,desktop,20200902,22,00:00:44,40.91%,21,3.05,0
Chrome,desktop,20201001,22,00:05:18,40.91%,18,4.77,0
Chrome,desktop,20210113,22,00:02:20,40.91%,22,4.45,2
Chrome,desktop,20210222,22,00:02:07,36.36%,22,4.59,1
Chrome,desktop,20210310,22,00:03:49,22.73%,19,4.77,3
Internet Explorer,desktop,20200104,22,00:00:24,90.91%,21,1.32,0
Safari,mobile,20200202,22,00:02:13,50.00%,20,2.18,0
Safari,mobile,20200205,22,00:04:26,31.82%,15,3.41,3
Safari,mobile,20200219,22,00:03:40,59.09%,17,2.55,0
Safari,mobile,20200222,22,00:01:01,22.73%,18,2.95,0
Safari,mobile,20200621,22,00:03:19,45.45%,19,2.64,0
Safari,mobile,20200726,22,00:02:20,22.73%,20,4.09,0
Safari,mobile,20200812,22,00:01:34,36.36%,16,3.82,1
Safari,mobile,20200823,22,00:01:03,27.27%,19,3.18,0
Safari,mobile,20201005,22,00:01:08,40.91%,17,2.32,0
Safari,mobile,20210116,22,00:01:10,36.36%,19,3.27,0
Safari,mobile,20210117,22,00:02:53,27.27%,21,4.45,3
Safari,mobile,20210123,22,00:01:56,36.36%,21,3.32,1
Chrome,desktop,20200722,21,00:02:50,28.57%,18,4.62,1
Chrome,desktop,20200729,21,00:04:01,28.57%,16,3.14,1
Chrome,desktop,20200914,21,00:02:16,38.10%,20,3.29,1
Chrome,desktop,20200924,21,00:02:27,23.81%,18,4.24,0
Chrome,desktop,20201221,21,00:01:52,19.05%,20,4,0
Chrome,desktop,20210201,21,00:01:46,19.05%,20,3.29,0
Chrome,desktop,20210316,21,00:00:55,61.90%,20,2.81,0
Chrome,mobile,20201010,21,00:01:29,33.33%,16,2.52,0
Firefox,desktop,20210316,21,<00:00:01,95.24%,21,1.05,0
Safari,mobile,20200207,21,00:01:52,38.10%,17,3.67,1
Safari,mobile,20200210,21,00:04:16,42.86%,17,2.57,1
Safari,mobile,20200623,21,00:00:31,28.57%,16,2.9,0
Safari,mobile,20200630,21,00:01:15,47.62%,20,3.71,2
Safari,mobile,20200902,21,00:02:41,19.05%,16,3.81,3
Safari,mobile,20200907,21,00:00:35,38.10%,14,3.1,0
Safari,mobile,20200918,21,00:01:17,19.05%,14,6.9,0
Safari,mobile,20200927,21,00:02:29,47.62%,17,2.81,0
Safari,mobile,20201009,21,00:01:21,23.81%,17,3,1
Safari,mobile,20210109,21,00:06:46,28.57%,18,2.29,0
Safari,mobile,20210127,21,00:03:36,38.10%,17,3.76,1
Safari,mobile,20210215,21,00:01:57,57.14%,18,3.57,2
Safari,mobile,20210224,21,00:02:21,28.57%,17,4.38,1
Safari,mobile,20210225,21,00:01:28,38.10%,18,3.19,2
Safari,mobile,20210302,21,00:03:25,52.38%,19,3.86,1
Safari,mobile,20210303,21,00:00:57,61.90%,16,2.43,4
Chrome,desktop,20200115,20,00:02:21,35.00%,20,3.4,0
Chrome,desktop,20200213,20,00:03:45,20.00%,19,6.35,1
Chrome,desktop,20200623,20,00:03:02,25.00%,20,4.7,0
Chrome,desktop,20201002,20,00:04:24,20.00%,15,7.5,2
Chrome,desktop,20201019,20,00:03:22,20.00%,14,3.6,0
Chrome,desktop,20201217,20,00:05:11,15.00%,19,6.5,3
Chrome,desktop,20210212,20,00:03:49,40.00%,18,4.15,4
Chrome,desktop,20210215,20,00:01:54,65.00%,20,3.3,4
Chrome,desktop,20210309,20,00:02:43,45.00%,19,3.2,5
Chrome,mobile,20200810,20,00:05:30,15.00%,14,4.55,1
Chrome,mobile,20201008,20,00:02:03,20.00%,16,4.3,1
Safari,mobile,20200108,20,00:01:05,25.00%,16,3.45,1
Safari,mobile,20200212,20,00:01:19,35.00%,15,2.95,1
Safari,mobile,20200217,20,00:01:48,30.00%,15,3,0
Safari,mobile,20200622,20,00:02:23,30.00%,17,3.15,0
Safari,mobile,20200717,20,00:00:39,35.00%,15,2.35,0
Safari,mobile,20200722,20,00:00:37,25.00%,18,3.05,0
Safari,mobile,20200822,20,00:02:10,25.00%,18,2.75,0
Safari,mobile,20200903,20,00:01:07,25.00%,17,3.15,1
Safari,mobile,20200924,20,00:00:56,25.00%,14,3.3,0
Safari,mobile,20201222,20,00:03:03,35.00%,19,4,2
Safari,mobile,20201223,20,00:02:07,20.00%,19,3,0
Safari,mobile,20201231,20,00:02:13,30.00%,18,2.9,0
Safari,mobile,20210208,20,00:00:52,35.00%,15,3.1,0
Safari,mobile,20210210,20,00:02:14,30.00%,16,4.2,0
Safari,mobile,20210219,20,00:01:14,35.00%,17,3.3,1
Chrome,desktop,20200108,19,00:02:18,26.32%,19,4,2
Chrome,desktop,20200206,19,00:04:58,36.84%,18,6.16,3
Chrome,desktop,20200212,19,00:04:09,5.26%,17,4.05,2
Chrome,desktop,20200715,19,00:00:55,21.05%,17,3.74,1
Chrome,desktop,20210315,19,00:03:08,42.11%,19,4.05,1
Safari,mobile,20200127,19,00:01:49,31.58%,14,3.58,1
Safari,mobile,20200617,19,00:00:56,47.37%,17,2.47,1
Safari,mobile,20200730,19,00:02:18,42.11%,18,2.89,0
Safari,mobile,20200811,19,00:00:50,52.63%,13,2,0
Safari,mobile,20200819,19,00:02:33,21.05%,16,3.53,0
Safari,mobile,20200828,19,00:00:59,26.32%,14,3.32,2
Safari,mobile,20200911,19,00:00:42,57.89%,12,2.16,0
Safari,mobile,20200919,19,00:02:34,21.05%,14,3.79,2
Safari,mobile,20200928,19,00:01:59,42.11%,15,3.32,2
Safari,mobile,20201019,19,00:02:09,42.11%,15,2.53,1
Safari,mobile,20201121,19,00:01:03,68.42%,11,3.16,0
Safari,mobile,20210121,19,00:01:55,10.53%,14,4.95,0
Safari,mobile,20210124,19,00:01:42,52.63%,15,2.95,3
Safari,mobile,20210126,19,00:04:52,15.79%,17,3.58,2
Safari,mobile,20210216,19,00:01:08,42.11%,17,4.05,0
Chrome,desktop,20200101,18,00:01:13,50.00%,17,3.17,2
Chrome,desktop,20200107,18,00:03:24,27.78%,16,4.28,1
Chrome,desktop,20200123,18,00:09:48,11.11%,18,6.78,5
Chrome,desktop,20200203,18,00:05:18,16.67%,18,5.61,4
Chrome,desktop,20200807,18,00:03:37,33.33%,16,4.67,1
Chrome,desktop,20200921,18,00:02:50,33.33%,16,5.61,1
Chrome,desktop,20201016,18,00:01:26,50.00%,17,3.11,0
Chrome,desktop,20201229,18,00:04:16,16.67%,18,3.61,0
Chrome,desktop,20210110,18,00:01:19,22.22%,18,3.06,0
Chrome,desktop,20210117,18,00:02:58,66.67%,17,4,1
Chrome,desktop,20210223,18,00:02:39,33.33%,15,3.89,2
Chrome,desktop,20210308,18,00:04:42,38.89%,17,5.22,5
Safari,mobile,20200125,18,00:01:52,22.22%,17,2.78,0
Safari,mobile,20200612,18,00:01:10,50.00%,14,3.22,0
Safari,mobile,20200706,18,00:00:43,33.33%,14,3.11,1
Safari,mobile,20200712,18,00:00:51,11.11%,14,2.67,0
Safari,mobile,20200804,18,00:00:10,55.56%,14,1.83,0
Safari,mobile,20200805,18,00:00:32,55.56%,14,2.17,0
Safari,mobile,20200910,18,00:01:30,44.44%,16,3.17,2
Safari,mobile,20200922,18,00:03:26,22.22%,13,5.17,1
Safari,mobile,20210102,18,00:02:56,50.00%,17,3,0
